,Median Label 0,Median Label 1,P-value
CAV,0.0,0.0,0.0024566219714472655
CAW,0.0,0.0,6.1931527935776e-05
CAY,0.0,0.0,0.03476636771374782
CCA,0.0,0.0,3.2662366752278516e-12
CCC,0.0,0.0,2.5910164027134358e-05
CCD,0.0,0.0,1.5749684398535145e-18
CCE,0.0,0.0,3.8935928934689926e-18
CCF,0.0,0.0,5.282762180431864e-08
CCG,0.0,0.0,2.3565890021996426e-36
CCH,0.0,0.0,4.632178868500825e-11
CCI,0.0,0.0,1.1366693357650578e-06
CCK,0.0,0.0,1.9408904449857636e-15
CCL,0.0,0.0,4.1129332831829516e-10
CCM,0.0,0.0,2.6113561981398886e-06
CCN,0.0,0.0,1.2393284821128981e-15
CCP,0.0,0.0,5.1318208614952565e-36
CCQ,0.0,0.0,1.9233941323075567e-09
CCR,0.0,0.0,4.143664490031402e-17
CCS,0.0,0.0,9.414964375544403e-69
CCT,0.0,0.0,4.507857525765956e-17
CCV,0.0,0.0,5.013253300834525e-10
CCW,0.0,0.0,1.9058698219950347e-07
CCY,0.0,0.0,8.491726918481679e-11
CDA,0.0,0.0,0.0002010703212832049
CDC,0.0,0.0,6.298046316379342e-07
CDD,0.0,0.0,2.9595332226841524e-07
CDE,0.0,0.0,0.0015792856065678425
CDF,0.0,0.0,0.004653546553255871
CDG,0.0,0.0,1.645061220349045e-10
CDI,0.0,0.0,0.0006310306532369383
CDL,0.0,0.0,0.02502893588085848
CDP,0.0,0.0,1.6534688418847532e-07
CDR,0.0,0.0,0.014084679498959668
CDS,0.0,0.0,4.731922323759559e-06
CDT,0.0,0.0,0.049394990182292826
CDV,0.0,0.0,0.04947985471505523
CDW,0.0,0.0,0.0005254464489373595
CDY,0.0,0.0,0.003866066949125804
CEC,0.0,0.0,0.00011943551558617884
CED,0.0,0.0,5.6501882875517004e-05
CEE,0.0,0.0,5.297214084122754e-07
CEF,0.0,0.0,0.0013276558924157566
CEG,0.0,0.0,1.1088225843006402e-05
CEH,0.0,0.0,0.04048851548881571
CEP,0.0,0.0,5.370074415037935e-06
CEQ,0.0,0.0,0.0017295862514842642
CER,0.0,0.0,0.018234994928247244
CES,0.0,0.0,0.010300530953368222
CET,0.0,0.0,0.011460371370021535
CEW,0.0,0.0,0.011330607889453349
CFA,0.0,0.0,0.02873423602903142
CFF,0.0,0.0,0.0006313880808540913
CFG,0.0,0.0,1.4601946242232157e-05
CFI,0.0,0.0,0.01206271343701809
CFN,0.0,0.0,0.001552257409816514
CFP,0.0,0.0,0.004193410279593521
CFT,0.0,0.0,0.0009899582871526842
CGC,0.0,0.0,0.005221901868001271
CGD,0.0,0.0,0.00014709284685594247
CGF,0.0,0.0,0.0014230288607251296
CGG,0.0,0.0,8.5947789727285e-08
CGI,0.0,0.0,5.1935627305297325e-06
CGK,0.0,0.0,1.3307768851245004e-06
CGL,0.0,0.0,0.00014260578049657218
CGN,0.0,0.0,0.03144901469215937
CGP,0.0,0.0,9.02436731202243e-06
CGQ,0.0,0.0,0.011438739218952039
CGR,0.0,0.0,4.262362879968414e-05
CGS,0.0,0.0,0.0014844704985866916
CGT,0.0,0.0,0.00014087194519324037
CGW,0.0,0.0,1.1422181984503224e-05
CGY,0.0,0.0,2.59463293659658e-06
CHC,0.0,0.0,0.0017215087965231652
CHD,0.0,0.0,0.012413825353151041
CHE,0.0,0.0,0.0005254467804853693
CHH,0.0,0.0,0.04546131025654111
CHL,0.0,0.0,0.0181055959445378
CHM,0.0,0.0,0.025305067516582378
CHP,0.0,0.0,2.366785962805838e-08
CHQ,0.0,0.0,0.04546131201345885
CHR,0.0,0.0,0.012463051510417033
CHS,0.0,0.0,0.019511074387193385
CHY,0.0,0.0,0.033782324140889615
CIA,0.0,0.0,0.004202208381451344
CIC,0.0,0.0,0.011065365980359046
CID,0.0,0.0,0.00022979298786580374
CIE,0.0,0.0,0.00023354866042608408
CIG,0.0,0.0,5.905223692226957e-05
CIH,0.0,0.0,0.03384658746622022
CII,0.0,0.0,0.006586569526141464
CIK,0.0,0.0,0.020064374633436896
CIL,0.0,0.0,0.007573389443662975
CIN,0.0,0.0,0.0010672046286202956
CIP,0.0,0.0,3.3643609015854813e-06
CIT,0.0,0.0,0.012269770438423306
CIV,0.0,0.0,0.0074262345480312665
CIW,0.0,0.0,0.033771622529105046
CKA,0.0,0.0,6.359031397920962e-05
CKC,0.0,0.0,7.007557684436456e-11
CKE,0.0,0.0,0.04089453289748173
CKF,0.0,0.0,0.00015854952452785652
CKG,0.0,0.0,6.862853024883393e-09
CKH,0.0,0.0,0.005937910493806207
CKK,0.0,0.0,0.0018025552048743137
CKL,0.0,0.0,0.00016797813277979876
CKM,0.0,0.0,0.002681719754057744
CKN,0.0,0.0,0.0016833170370126257
CKP,0.0,0.0,0.00022626958312892863
CKQ,0.0,0.0,0.033387417743655355
CKS,0.0,0.0,0.0020634996729573993
CKY,0.0,0.0,4.050408728764787e-07
CLC,0.0,0.0,0.0010405063162244326
CLD,0.0,0.0,0.014160029694883322
CLF,0.0,0.0,0.007547731944484091
CLG,0.0,0.0,1.4379485268788144e-05
CLH,0.0,0.0,0.033718162287338704
CLK,0.0,0.0,0.0411939713046905
CLP,0.0,0.0,6.839432765531429e-11
CLS,0.0,0.0,1.8679034125517748e-05
CLT,0.0,0.0,0.0325936436379482
CLW,0.0,0.0,0.025305068469293014
CLY,0.0,0.0,0.020800291238949803
CMC,0.0,0.0,0.0001579004151016954
CME,0.0,0.0,0.025305067516582378
CMG,0.0,0.0,0.002642726172976047
CMN,0.0,0.0,3.2136178385624456e-07
CMP,0.0,0.0,0.0013258733317996678
CMT,0.0,0.0,0.0005254467804853693
CNA,0.0,0.0,0.027333409956943777
CNC,0.0,0.0,6.015024369558157e-05
CND,0.0,0.0,0.0009492449915650449
CNE,0.0,0.0,0.0028101601703542874
CNG,0.0,0.0,5.06451312812956e-06
CNH,0.0,0.0,0.0026817199455771777
CNI,0.0,0.0,0.008017807022345782
CNK,0.0,0.0,0.0381090636589432
CNL,0.0,0.0,4.2685320412981536e-05
CNM,0.0,0.0,0.014267878216512632
CNN,0.0,0.0,0.004529430026862513
CNP,0.0,0.0,1.932290708028787e-06
CNR,0.0,0.0,0.0009062705195320873
CNS,0.0,0.0,0.005902019246461826
CNV,0.0,0.0,0.0027876081270886612
CNW,0.0,0.0,0.011345374868711157
CPA,0.0,0.0,3.4254649167988395e-05
CPC,0.0,0.0,0.0004581388513414395
CPD,0.0,0.0,0.0003951050500506599
CPE,0.0,0.0,0.00015029813829494032
CPF,0.0,0.0,0.0013187665235550646
CPG,0.0,0.0,9.079696276576089e-10
CPH,0.0,0.0,0.0013249833108794897
CPI,0.0,0.0,0.03898284909067882
CPM,0.0,0.0,0.006602221074724109
CPN,0.0,0.0,0.00012654781382277202
CPP,0.0,0.0,1.4443720727493005e-12
CPS,0.0,0.0,2.0699760729899406e-06
CPT,0.0,0.0,0.015594575894564597
CPW,0.0,0.0,2.9440051823370053e-07
CPY,0.0,0.0,0.004423118670792899
CQA,0.0,0.0,0.004430885186634772
CQC,0.0,0.0,0.00023193214621794098
CQF,0.0,0.0,0.025305068469293014
CQG,0.0,0.0,5.155959206116638e-05
CQH,0.0,0.0,0.04546131025654111
CQP,0.0,0.0,0.0199301632038379
CQQ,0.0,0.0,0.019599129653336753
CQS,0.0,0.0,0.021540849583683356
CQT,0.0,0.0,0.011374961701585286
CQW,0.0,0.0,0.002681719658298472
CRA,0.0,0.0,0.002446638562941433
CRC,0.0,0.0,5.399569870033063e-06
CRD,0.0,0.0,9.574166617044262e-05
CRE,0.0,0.0,7.17515318396178e-05
CRF,0.0,0.0,3.609312474829417e-05
CRG,0.0,0.0,0.00012707606670561274
CRK,0.0,0.0,9.27858439091514e-05
CRL,0.0,0.0,0.00012768946739823674
CRN,0.0,0.0,0.011050622674723556
CRP,0.0,0.0,4.945331979558197e-07
CRR,0.0,0.0,0.002092986124533513
CRS,0.0,0.0,0.002437057741074865
CRT,0.0,0.0,0.00024995095266254686
CRW,0.0,0.0,9.412911145461262e-05
CRY,0.0,0.0,1.9362511030612466e-06
CSA,0.0,0.0,0.005888934158678709
CSC,0.0,0.0,0.000516046792046251
CSD,0.0,0.0,3.421986563607357e-09
CSE,0.0,0.0,1.271749802975502e-05
CSG,0.0,0.0,3.255200884959266e-27
CSH,0.0,0.0,1.3144174495533572e-08
CSK,0.0,0.0,0.00010610934074047297
CSL,0.0,0.0,0.00039500914236427736
CSN,0.0,0.0,2.5259664489016536e-11
CSP,0.0,0.0,1.4559552622926636e-05
CSQ,0.0,0.0,0.0003924304751992922
CSR,0.0,0.0,0.0002762195864614997
CSS,0.0,0.0,8.06963692005575e-11
CST,0.0,0.0,0.001301568325298239
CSW,0.0,0.0,0.02143817539767829
CSY,0.0,0.0,0.012915372149314215
CTD,0.0,0.0,3.064185889580184e-05
CTF,0.0,0.0,0.012282305266050128
CTG,0.0,0.0,4.191157817041452e-10
CTH,0.0,0.0,3.6438367061870976e-05
CTL,0.0,0.0,0.0024471905600536785
CTM,0.0,0.0,0.004653546888564082
CTN,0.0,0.0,0.010886654804026218
CTP,0.0,0.0,5.4434444410121997e-14
CTQ,0.0,0.0,0.0009503993925058299
CTR,0.0,0.0,0.0010077627178473924
CTS,0.0,0.0,5.679715001482806e-06
CTT,0.0,0.0,0.001029018412892539
CTW,0.0,0.0,0.03466357968076007
CTY,0.0,0.0,0.0006475610041901485
CVC,0.0,0.0,0.03483833269725738
CVD,0.0,0.0,0.00023166371373584672
CVE,0.0,0.0,0.020800289853124338
CVF,0.0,0.0,0.01611803448288337
CVG,0.0,0.0,1.1050395658091305e-08
CVH,0.0,0.0,0.025305068469293014
CVK,0.0,0.0,0.025081331794536962
CVL,0.0,0.0,0.00015322840239242493
CVM,0.0,0.0,0.014267878216512632
CVN,0.0,0.0,0.04905193189283132
CVP,0.0,0.0,0.0003233996685384784
CVR,0.0,0.0,0.02163532461185389
CVV,0.0,0.0,0.020024526120638993
CVY,0.0,0.0,0.0003755315927124481
CWE,0.0,0.0,0.008119799140647099
CWF,0.0,0.0,0.025305068469293014
CWG,0.0,0.0,0.007571413043981598
CWK,0.0,0.0,0.019498522373287915
CWN,0.0,0.0,0.03465424868615204
CWP,0.0,0.0,0.0015522576849473257
CWS,0.0,0.0,0.003869913438735675
CWT,0.0,0.0,0.033825153060190544
CWV,0.0,0.0,0.033739537982749125
CYA,0.0,0.0,0.02076007338035051
CYC,0.0,0.0,2.0178031315958055e-07
CYD,0.0,0.0,0.0009017570923741749
CYG,0.0,0.0,1.7467471012329432e-06
CYK,0.0,0.0,0.0002200137406771723
CYN,0.0,0.0,0.0002327390130849411
CYP,0.0,0.0,1.9413262517510383e-06
CYR,0.0,0.0,0.0065641037018914815
CYS,0.0,0.0,0.0015892688897178133
CYW,0.0,0.0,0.025305068469293014
DAC,0.0,0.0,0.000232402511894489
DAF,0.0,0.0,0.019561347310315187
DAK,0.0,0.0,0.04479310437707918
DAL,0.0,0.0,0.004345715024000235
DAQ,0.0,0.0,0.004443878704341149
DAR,0.0,0.0,0.0038507157942989463
DCC,0.0,0.0,6.7855740205853076e-40
DCD,0.0,0.0,0.004635606402076141
DCE,0.0,0.0,0.019851002944030097
DCG,0.0,0.0,0.001527398273524821
DCH,0.0,0.0,0.012452487905811209
DCI,0.0,0.0,9.326164845757813e-05
DCL,0.0,0.0,0.007860531459336576
DCP,0.0,0.0,0.00024452511889275696
DCQ,0.0,0.0,0.0041197762655961956
DCS,0.0,0.0,0.005974342357099807
DCT,0.0,0.0,0.005233840070594903
DCW,0.0,0.0,0.025305067516582378
DCY,0.0,0.0,0.0006394796284200539
DDC,0.0,0.0,8.405994756412073e-10
DDH,0.0,0.0,0.04546131201345885
DDM,0.0,0.0,0.025305068469293014
DEA,0.0,0.0,0.0285429399857793
DEC,0.0,0.0,5.92994962814676e-08
DEE,0.0,0.0,0.016120382263918393
DEI,0.0,0.0,0.0038468861639254118
DEV,0.0,0.0,0.0017287956668372764
DFC,0.0,0.0,0.00020340472988684735
DFD,0.0,0.0,0.004521600423021145
DFG,0.0,0.0,0.004460821844656883
DFM,0.0,0.0,0.033728847238522354
DFP,0.0,0.0,0.01951735215819933
DGC,0.0,0.0,4.116560464711254e-07
DGD,0.0,0.0,0.006660437808924865
DGR,0.0,0.0,0.00026462436110081655
DGY,0.0,0.0,0.006956555481371878
DHQ,0.0,0.0,0.025305066563867332
DHR,0.0,0.0,0.014267878216512632
DIC,0.0,0.0,0.007152396413465298
DII,0.0,0.0,0.0038177774280091013
DIK,0.0,0.0,0.04513101195553619
DIN,0.0,0.0,0.0005520126850343745
DIR,0.0,0.0,0.020748595070868736
DIT,0.0,0.0,0.03452383237703179
DIV,0.0,0.0,0.012201303632272072
DKA,0.0,0.0,0.006068888644469509
DKC,0.0,0.0,0.006823271735634297
DLC,0.0,0.0,7.83434625355595e-06
DLF,0.0,0.0,0.016166818178987137
DLG,0.0,0.0,0.000573194287641066
DLI,0.0,0.0,0.007637507056266212
DLK,0.0,0.0,0.0006425477717982734
DLL,0.0,0.0,0.016277083177153366
DLR,0.0,0.0,0.011438739077327804
DMC,0.0,0.0,0.000776566068511361
DMP,0.0,0.0,0.014267878743686537
DNE,0.0,0.0,0.012441933552071434
DNI,0.0,0.0,0.007490671183607016
DNR,0.0,0.0,0.04546131201345885
DPC,0.0,0.0,1.8695956080655926e-05
DPF,0.0,0.0,0.0075812978166173665
DPL,0.0,0.0,0.04515038428427743
DPR,0.0,0.0,0.009087427494386912
DPT,0.0,0.0,0.04485087820744791
DQC,0.0,0.0,0.007430513690114152
DQI,0.0,0.0,0.03371816156329529
DRC,0.0,0.0,0.01834835608816058
DRV,0.0,0.0,0.032212988593070896
DSC,0.0,0.0,0.00015079522574754558
DSE,0.0,0.0,0.00024841288877924485
DSL,0.0,0.0,0.021438196676231716
DTC,0.0,0.0,0.008125537668594923
DTH,0.0,0.0,0.04546131201345885
DTQ,0.0,0.0,0.0195865277255311
DVC,0.0,0.0,0.011525482423419199
DVL,0.0,0.0,0.0016899840993732798
DVQ,0.0,0.0,0.012484200101655997
DWC,0.0,0.0,0.004430885186634772
DWL,0.0,0.0,0.019915296589819734
DYC,0.0,0.0,3.2532884161289084e-05
EAA,0.0,0.0,0.018791308795290534
EAC,0.0,0.0,1.8399217229133056e-05
EAF,0.0,0.0,0.045218248138281215
EAI,0.0,0.0,0.022863644607920546
EAL,0.0,0.0,4.118676964157838e-06
EAN,0.0,0.0,0.020811794472986894
EAQ,0.0,0.0,0.019984747778306017
EAR,0.0,0.0,0.03208884845249904
ECC,0.0,0.0,1.5907113380748839e-35
ECD,0.0,0.0,0.0009434924449334246
ECE,0.0,0.0,8.472296707294833e-07
ECH,0.0,0.0,0.034728959974225225
ECI,0.0,0.0,0.01149288625795053
ECL,0.0,0.0,0.006693842918318767
ECN,0.0,0.0,0.007577342936494487
ECP,0.0,0.0,0.003867348436660708
ECR,0.0,0.0,1.4372851604518793e-06
ECS,0.0,0.0,0.0010503001997992979
ECT,0.0,0.0,9.348029295957436e-05
ECV,0.0,0.0,0.00033856844139467957
ECW,0.0,0.0,0.006626142917583166
ECY,0.0,0.0,0.011315857977701772
EDC,0.0,0.0,6.184445474255612e-05
EEC,0.0,0.0,3.136670099839122e-11
EEE,0.0,0.0,0.04119015480107247
EEL,0.0,0.0,0.032135824936118204
EEM,0.0,0.0,0.03471026738748411
EEP,0.0,0.0,0.006613085697331628
EEY,0.0,0.0,0.012096037408209507
EFC,0.0,0.0,2.5687356392676435e-05
EFH,0.0,0.0,0.004653546050294363
EFR,0.0,0.0,0.03244685879393054
EFV,0.0,0.0,0.012235360246807946
EGC,0.0,0.0,9.678411847692624e-05
EGG,0.0,0.0,0.015524084881059007
EHE,0.0,0.0,0.032314151244201915
EHR,0.0,0.0,0.000901757251239939
EIC,0.0,0.0,0.019332486800480615
EIE,0.0,0.0,0.006587039041677864
EIF,0.0,0.0,0.020794541180948613
EIK,0.0,0.0,0.049106388031747855
EIN,0.0,0.0,0.0072289562047141405
EIR,0.0,0.0,0.03302217769507409
EKA,0.0,0.0,0.004491515590280147
EKE,0.0,0.0,0.02746510451290643
EKP,0.0,0.0,0.004430885531085731
EKQ,0.0,0.0,0.003846886452286807
EKR,0.0,0.0,0.016048573547562308
EKV,0.0,0.0,0.011438738369207948
EKW,0.0,0.0,0.04546131025654111
ELC,0.0,0.0,2.1919267028277932e-06
ELE,0.0,0.0,0.021592337997083298
ELF,0.0,0.0,0.00445690674193681
ELH,0.0,0.0,0.03465424707655998
ELI,0.0,0.0,0.032889324308401184
ELL,0.0,0.0,0.0023008564729607413
ELN,0.0,0.0,0.000658190624762253
ELP,0.0,0.0,0.0015887913526332258
ELQ,0.0,0.0,0.034616944014746326
ELR,0.0,0.0,0.0004025295926417762
ELS,0.0,0.0,0.014026960002564575
ELT,0.0,0.0,0.0044682428223434085
ELW,0.0,0.0,0.04546131201345885
EMA,0.0,0.0,0.03379302647695478
EMC,0.0,0.0,0.0022637378412646955
EMT,0.0,0.0,0.04546131201345885
ENC,0.0,0.0,0.012260377331961166
ENF,0.0,0.0,0.0013267643531523347
ENT,0.0,0.0,0.012434901498310412
EPC,0.0,0.0,6.711572318648167e-08
EPL,0.0,0.0,0.0046417813960550535
EQA,0.0,0.0,0.0005642532208369203
EQC,0.0,0.0,0.02891377493326523
EQH,0.0,0.0,0.014267878743686537
EQI,0.0,0.0,0.034691587152426075
EQL,0.0,0.0,0.006630501922621607
ERL,0.0,0.0,0.02303980902791051
ERP,0.0,0.0,0.018293698221345227
ERQ,0.0,0.0,0.020794541527337538
ERV,0.0,0.0,0.020863625416912668
ESA,0.0,0.0,0.018339937225346305
ESC,0.0,0.0,0.0005259601543273304
ESD,0.0,0.0,0.03876346902476663
ESE,0.0,0.0,0.045024579967744054
ESF,0.0,0.0,0.03480381039667122
ESK,0.0,0.0,0.03463558669711224
ESR,0.0,0.0,0.032267428778488455
EST,0.0,0.0,0.004580360870319277
ESW,0.0,0.0,0.020869388301452463
ETA,0.0,0.0,0.021536564005349857
ETI,0.0,0.0,0.003859663850638657
ETK,0.0,0.0,0.028849545209043703
ETL,0.0,0.0,0.00040273951676209855
ETR,0.0,0.0,0.011382368970201976
ETV,0.0,0.0,0.03867757217530045
EVA,0.0,0.0,0.0042474403141331855
EVC,0.0,0.0,1.8656506622657938e-05
EVD,0.0,0.0,0.032599909174196785
EVE,0.0,0.0,0.007479896792209818
EVF,0.0,0.0,0.007180151458625868
EVG,0.0,0.0,0.048771385280440956
EVI,0.0,0.0,0.0005691219338069257
EVK,0.0,0.0,0.03263753749201891
EVL,0.0,0.0,0.0009089312333856379
EVM,0.0,0.0,0.019548769697919778
EVN,0.0,0.0,0.002665580459111006
EVQ,0.0,0.0,0.019536197384631585
EVS,0.0,0.0,0.0038635044561603897
EVT,0.0,0.0,0.0024505159305199618
EVV,0.0,0.0,0.04906100351448229
EVY,0.0,0.0,0.02082330117140078
EWC,0.0,0.0,2.1466052369735167e-05
EWV,0.0,0.0,0.008119799140647099
EYC,0.0,0.0,4.730534763690226e-06
EYI,0.0,0.0,0.04546131201345885
EYK,0.0,0.0,0.00811979884485534
EYL,0.0,0.0,0.0072237125831534224
FAA,0.0,0.0,0.021357231191192646
FAC,0.0,0.0,0.03840533689423711
FAE,0.0,0.0,0.012310546786390899
FAI,0.0,0.0,0.0009486677507594677
FAP,0.0,0.0,0.011323230801180924
FCC,0.0,0.0,1.063876111319524e-07
FCD,0.0,0.0,0.007269267522462928
FCE,0.0,0.0,0.004653546720909981
FCG,0.0,0.0,0.0012092266163465112
FCI,0.0,0.0,0.001598848619530276
FCL,0.0,0.0,0.00014996765671185935
FCN,0.0,0.0,0.004233627587818285
FCQ,0.0,0.0,0.025305068469293014
FCR,0.0,0.0,0.03243105019814711
FCS,0.0,0.0,0.00166278126439283
FCT,0.0,0.0,0.012313690471844836
FDE,0.0,0.0,0.03463559152416767
FDF,0.0,0.0,0.01136755924740614
FDR,0.0,0.0,0.014267878743686537
FEA,0.0,0.0,0.0004572076027297245
FEE,0.0,0.0,0.00015903798618838676
FEG,0.0,0.0,0.020748596800099012
FEI,0.0,0.0,0.001601733159606316
FEK,0.0,0.0,0.00023470016697920573
FEN,0.0,0.0,0.019930164279940068
FEV,0.0,0.0,0.018118082116942148
FFA,0.0,0.0,0.00041059535859146445
FFC,0.0,0.0,3.293918378829331e-05
FFN,0.0,0.0,0.002661627612419665
FFS,0.0,0.0,0.04082904684218665
FFY,0.0,0.0,0.004480443014138689
FGC,0.0,0.0,5.876897169682815e-05
FGP,0.0,0.0,0.0007358202038941225
FGV,0.0,0.0,0.028734238786906927
FHV,0.0,0.0,0.04546131201345885
FIA,0.0,0.0,0.0015702094043370369
FIF,0.0,0.0,0.020869390385081205
FII,0.0,0.0,0.02913308228609235
FKI,0.0,0.0,0.006595710617455409
FKS,0.0,0.0,0.019999656937319695
FLA,0.0,0.0,3.640475982771574e-05
FLC,0.0,0.0,0.001034364999782099
FLF,0.0,0.0,0.03880256842355828
FLL,0.0,0.0,0.0004972986818570107
FLP,0.0,0.0,0.009551865528995751
FLR,0.0,0.0,0.015854853940102793
FLY,0.0,0.0,0.004441276672374641
FMN,0.0,0.0,0.04546131201345885
FNH,0.0,0.0,0.014267877689336262
FNI,0.0,0.0,0.004650440228947385
FPA,0.0,0.0,0.0010840394212297529
FPC,0.0,0.0,0.007524118426286116
FPK,0.0,0.0,0.0007744710323806181
FQL,0.0,0.0,0.0026817199455771777
FRL,0.0,0.0,0.034663577534253615
FRW,0.0,0.0,0.03384658746622022
FSD,0.0,0.0,0.03459830400984851
FSF,0.0,0.0,0.012505380245609328
FSH,0.0,0.0,0.004653546720909981
FSI,0.0,0.0,0.0006299595229474047
FSL,0.0,0.0,0.003695868682009241
FSV,0.0,0.0,0.01827690905337923
FTA,0.0,0.0,0.007471287232295382
FTD,0.0,0.0,0.03448664606957313
FTF,0.0,0.0,0.011479327362556592
FTL,0.0,0.0,0.04910638838407072
FVA,0.0,0.0,1.2846362617642526e-05
FVC,0.0,0.0,9.767418233254479e-05
FVE,0.0,0.0,0.019925208383015505
FVF,0.0,0.0,0.0007768284512589253
FVG,0.0,0.0,0.013434073711776615
FVI,0.0,0.0,0.00658057113677334
FVL,0.0,0.0,1.4229247357378111e-05
FVM,0.0,0.0,0.04546131201345885
FVP,0.0,0.0,0.01411651434738048
FVQ,0.0,0.0,0.02091556987545686
FVS,0.0,0.0,0.002653736757548694
FVV,0.0,0.0,0.004610978519473972
FWG,0.0,0.0,0.002681719754057744
FWT,0.0,0.0,0.025305068469293014
FWV,0.0,0.0,0.04546131201345885
FWW,0.0,0.0,0.04546131201345885
FYC,0.0,0.0,0.03238435148896605
FYE,0.0,0.0,0.004653546888564082
FYG,0.0,0.0,0.00015083669306325336
GAC,0.0,0.0,1.5026686483737116e-05
GAE,0.0,0.0,0.006562609260516378
GAQ,0.0,0.0,0.0006299590530041869
GAV,0.0,0.0,0.03192189144828391
GCA,0.0,0.0,0.011253075643196307
GCC,0.0,0.0,1.1274187150440506e-36
GCD,0.0,0.0,0.007202773729289775
GCE,0.0,0.0,0.0015926156158198072
GCF,0.0,0.0,0.0006340745491360609
GCH,0.0,0.0,0.00026780273972772697
GCI,0.0,0.0,0.002191778052506659
GCK,0.0,0.0,1.7047760847161272e-06
GCM,0.0,0.0,0.0026817199455771777
GCN,0.0,0.0,0.011996309111459972
GCP,0.0,0.0,2.0458253873709296e-07
GCR,0.0,0.0,0.0007316459904883231
GCS,0.0,0.0,4.467947681903226e-07
GCT,0.0,0.0,3.007977395404777e-05
GCV,0.0,0.0,0.0014026962512277163
GCW,0.0,0.0,0.0006356915134860825
GCY,0.0,0.0,1.4307390639295434e-05
GDC,0.0,0.0,1.2800160084229334e-06
GDI,0.0,0.0,0.011403665467943785
GDY,0.0,0.0,0.03373953725840023
GEC,0.0,0.0,5.2877731192459e-07
GEE,0.0,0.0,0.013313809809045559
GEP,0.0,0.0,0.016256448720375787
GFA,0.0,0.0,0.0022592079923137876
GFD,0.0,0.0,0.02012427459113087
GFE,0.0,0.0,0.016062444447044764
GGC,0.0,0.0,1.7732595277477396e-11
GGG,0.0,0.0,0.005184538371276771
GGT,0.0,0.0,0.04914838414308916
GHC,0.0,0.0,0.0006443223801044771
GHI,0.0,0.0,0.032509469829863545
GIA,0.0,0.0,0.03428389117187475
GIC,0.0,0.0,2.1355776799500177e-06
GID,0.0,0.0,0.014174561617302952
GIV,0.0,0.0,0.03908044112777951
GKC,0.0,0.0,9.108460412074957e-11
GKK,0.0,0.0,0.02086703047898661
GLC,0.0,0.0,9.630204107167797e-05
GLF,0.0,0.0,0.0048104150417891825
GLG,0.0,0.0,0.0010616966866105512
GMC,0.0,0.0,0.0002692661773894431
GMD,0.0,0.0,0.04546131025654111
GME,0.0,0.0,0.019498522373287915
GNA,0.0,0.0,0.03275693137668313
GNC,0.0,0.0,2.08221945711e-06
GNK,0.0,0.0,0.038591837453465824
GNQ,0.0,0.0,0.011374961166532294
GNV,0.0,0.0,0.0017181705571893086
GPC,0.0,0.0,0.02181170343254475
GPE,0.0,0.0,0.03476636771374782
GPQ,0.0,0.0,0.033015842467151654
GPR,0.0,0.0,0.02280189234276091
GQC,0.0,0.0,0.032423760511030776
GQL,0.0,0.0,0.02843600011927037
GQV,0.0,0.0,0.012282304557009472
GRC,0.0,0.0,3.5163054237927258e-09
GRE,0.0,0.0,0.004650440079731221
GRI,0.0,0.0,0.00605742642048699
GRN,0.0,0.0,2.402655368743327e-05
GRP,0.0,0.0,0.040914734317313094
GRR,0.0,0.0,0.004306932593443009
GRV,0.0,0.0,0.0015712952462310088
GRY,0.0,0.0,0.02081179377980186
GSC,0.0,0.0,3.0676322453649547e-10
GSI,0.0,0.0,0.018973505775557162
GTC,0.0,0.0,1.3043159864342367e-10
GTE,0.0,0.0,0.00745409504652234
GTF,0.0,0.0,0.02160091880100436
GTP,0.0,0.0,0.010503636665845346
GTQ,0.0,0.0,0.011390200613608613
GVC,0.0,0.0,1.7191598912914777e-09
GVL,0.0,0.0,0.007970807207230968
GVQ,0.0,0.0,0.012269770969799436
GVR,0.0,0.0,0.0015393538422822876
GWC,0.0,0.0,5.2658625673436736e-09
GWD,0.0,0.0,0.008119799140647099
GWE,0.0,0.0,0.004653546720909981
GWH,0.0,0.0,0.03478507964313017
GYA,0.0,0.0,0.009328315187629716
GYC,0.0,0.0,0.00020497871942246827
GYK,0.0,0.0,0.047024032602788556
GYN,0.0,0.0,0.0046702850467882934
GYR,0.0,0.0,0.012219745978977625
HCC,0.0,0.0,3.210618586865106e-12
HCG,0.0,0.0,0.025323569058664248
HCH,0.0,0.0,0.04546131201345885
HCI,0.0,0.0,0.004653546888564082
HCN,0.0,0.0,0.04546131201345885
HCP,0.0,0.0,0.00811979884485534
HCT,0.0,0.0,0.0009521332085287037
HCY,0.0,0.0,0.0026817195625387633
HDC,0.0,0.0,0.0013267642495850985
HDV,0.0,0.0,0.004653546720909981
HEC,0.0,0.0,0.006617436013609993
HED,0.0,0.0,0.0013276539926203184
HES,0.0,0.0,0.004653546888564082
HFR,0.0,0.0,0.025305067516582378
HFS,0.0,0.0,0.04546131201345885
HGC,0.0,0.0,0.019536197384631585
HGF,0.0,0.0,0.008119799140647099
HGI,0.0,0.0,0.03850625862334122
HHG,0.0,0.0,0.019498521050421245
HHI,0.0,0.0,0.003844335319899712
HHK,0.0,0.0,0.025305068469293014
HIE,0.0,0.0,0.04546131201345885
HKD,0.0,0.0,0.025305066563867332
HKE,0.0,0.0,0.032462499437759106
HKQ,0.0,0.0,8.355493252253255e-09
HKW,0.0,0.0,0.01958652462890808
